codigo;AplicaSN;CST00;CST02;CST10;CST15;CST20;CST30;CST40;CST41;CST50;CST51;CST53;CST60;CST61;CST70;CST90;Dispositivo;descricao;Observacao
SP054114;SIM;;;;;;;;;;SIM;;;;;;Artigo 411-D do RICMS;Diferimento - Saida interna de materia prima, material secundario ou intermediario e material de embalagem, quando destinados a estabelecimento rerrefinador de oleo lubrificante usado e contaminado localizado nesse Estado, devidamente autorizado por orgao;
SP054115;SIM;;;;;;;;;SIM;;;;;;;Artigo 411-E do RICMS;Suspensao - Desembaraco aduaneiro, que ocorra em territorio paulista, de materia prima, material secundario ou intermediario e material de embalagem, quando a importacao for realizada por estabelecimento rerrefinador de oleo lubrificante usado e contamina;
SP054181;SIM;;;;;;;;;;SIM;SIM;;;;;Artigo 418-B, II do RICMS;Diferimento - Saida de etanol hidratado combustivel - EHC promovida por fabricante, cooperativa de produtores ou empresa comercializadora de etanol localizado em territorio paulista, nao credenciado nos termos do Artigo 418-A do RICMS, com destino a contr;
SP054182;SIM;;;;;;;;;;SIM;SIM;;;;;Artigo 418-F do RICMS;Diferimento - Saidas internas de etanol hidratado combustivel - EHC, promovidas por distribuidor de combustiveis com destino a outro distribuidor de combustiveis, em ambos os casos como definido e autorizado por orgao federal competente;
SP054190;SIM;;;;;;;;;;SIM;SIM;;;;;Artigo 419 do RICMS;Diferimento - Operacao interna ou interestadual que destinar etanol anidro combustivel - EAC a estabelecimento do distribuidor de combustiveis, como tal definido e autorizado por orgao federal competente;
SP054191;SIM;;;;;;;;;;SIM;SIM;;;;;Artigo 419-B do RICMS;Diferimento - Saida interna de etanol anidro combustivel - EAC com destino a estabelecimento localizado em territorio paulista;
SP054201;SIM;;;;;;;;;;SIM;SIM;;;;;Artigo 420-A do RICMS;Diferimento - Operacao interna ou interestadual que destinar biodiesel puro - B100 a estabelecimento do distribuidor de combustiveis, como tal definido e autorizado por orgao federal competente;
SP054210;SIM;;;;;;;;;;SIM;SIM;;;;;Artigo 421 do RICMS;Diferimento - Operacoes anteriores com querosene de aviacao, querosene iluminante, gasolina de aviacao e oleo combustivel, assim como com o petroleo bruto utilizado na sua fabricacao;
SP054220;SIM;;;;;;;;;;SIM;SIM;;;;;Artigo 422 do RICMS;Diferimento - Operacoes internas com gas natural, biogas e biometano a serem consumidos em processo de industrializacao em usina geradora de energia eletrica;
SP054221;SIM;;;;;;;;;;SIM;SIM;;;;;Artigo 422-B do RICMS;Diferimento - Saida interna de gas natural destinado a estabelecimento fabricante de vidro classificado nas posicoes 7003, 7005, 7006, 7007, 7009 e 7010 da Nomenclatura Comum do Mercosul - NCM;
SP054250;SIM;;;;;;;;;;SIM;;;;;;Artigo 425 do RICMS;Diferimento - Operacoes internas com energia eletrica, desde a sua importacao ou producao;
SP054251;SIM;;;;;;;;;;SIM;;;;;;Artigo 425-C do RICMS;Diferimento - Imposto devido sobre o valor dos encargos de conexao e de uso da rede basica de transmissao nas operacoes internas com energia eletrica;
SP054501;SIM;;;;;;;;;;SIM;;;;;;Artigo 450-B do RICMS;Diferimento - Saida interna de materia-prima, produto intermediario e material de embalagem, com destino a contribuinte beneficiario do Regime Especial Simplificado de Exportacao para fabricacao de mercadoria a ser exportada, quando o contribuinte fornece;
SP054502;SIM;;;;;;;;;SIM;;;;;;;Artigo 450-C do RICMS;Suspensao - Desembaraco aduaneiro de materia-prima, produto intermediario e material de embalagem empregados na fabricacao de mercadoria destinada a exportacao, quando a importacao seja promovida por contribuinte beneficiario do Regime Especial Simplifica;
SP054890;SIM;;;;;;;;;SIM;SIM;;;;;;Artigo 489 do RICMS;Diferimento ou suspensao com amparo em regime especial de oficio no interesse do contribuinte ou do fisco, estabelecido nos termos do Artigo 489 do RICMS;
SP058270;SIM;;;;;;;;;;SIM;;;;;;Artigo 27 DDTT do RICMS;Diferimento - Saida interna promovida pelo estabelecimento fabricante das mercadorias relacionadas no ı 1¯ do Artigo 27 DDTT do RICMS diretamente a estabelecimento fabricante de vagao ferroviario de carga;
SP058290;SIM;;;;;;;;;SIM;;;;;;;Artigo 29 DDTT do RICMS;Suspensao - Desembaraco aduaneiro de bens destinados a integracao ao ativo imobilizado;
SP058810;SIM;;;;;;;;;;SIM;;;;;;Decreto 46.082/01;Diferimento - Operacoes internas com insumos, materiais e equipamentos, para construcao, conservacao, modernizacao e reparo de embarcacoes, enquanto igual tratamento for concedido pelo Estado do Rio de Janeiro;
SP058811;SIM;;;;;;;;;;SIM;;;;;;Decreto 51.608/07;Diferimento - Saidas internas de maquinas ou implementos agricolas;
SP058820;SIM;;;;;;;;;SIM;SIM;;;;;;Artigo 11 do Decreto 53.051/08;Suspensao ou diferimento amparado por regime especial concedido nos termos do artigo 11 do Decreto 53.051/08, que instutuiu o Programa de Incentivo ao Investimento pelo Fabricante de Veiculo Automotor - ProVeiculo;
SP058821;SIM;;;;;;;;;SIM;SIM;;;;;;Artigo 11 do Decreto 54.904/09;Suspensao ou diferimento amparado por regime especial concedido nos termos do artigo 11 do Decreto 54.904/09, que instutuiu o Programa de Incentivo ao Investimento pelo Fabricante de Produtos da Industria de Processamento Eletronico de Dados - Pro-Informa;
SP058822;SIM;;;;;;;;;SIM;SIM;;;;;;Decreto 55.901/10;Suspensao ou diferimento - Programa de Incentivo ao Setor Ferroviario - Pro-Trens;
SP058823;SIM;;;;;;;;;;SIM;;;;;;Decreto 58.977/13;Diferimento - Saida de etanol a ser utilizado na operacionalizacao de transporte dutoviario;
SP058830;SIM;;;;;;;;;SIM;SIM;;;;;;Artigo 1ß-A do Decreto 63.208/18;Diferimento ou suspensao - Operacoes realizadas por fabricante de bens finais ou por fabricante intermediario, devidamente habilitados no Repetro;
SP059001;SIM;;;;;;;;;;SIM;;;;;;Artigo 8ß do Anexo XVII do RICMS ;Diferimento - Prestacao de servicos de telecomunicacao entre empresas sujeitas a regime especial na cessao de meios de rede, relacionadas em Ato Cotepe;
SP059002;SIM;;;;;;;;;;SIM;;;;;;Artigo 9ß do Anexo XVII do RICMS ;Diferimento - Prestacoes de servico de comunicacao realizadas em territorio paulista para empresas de comunicacoes;
SP059003;SIM;;;;;;;;;;SIM;;;;;;Artigo 7ß do Anexo XIX do RICMS;Diferimento - Saida interna promovida por produtor ou cooperativa com destino a estabelecimento da CONAB;
SP059004;SIM;;;;;;;;;;SIM;;;;;;Artigo 1ß do Anexo VIII do RICMS;Diferimento - Sucessivas operacoes com produto primario agricola realizadas por intermedio de Bolsa quando a mercadoria se encontra depositada em armazem geral, salvo se houver regra especifica;
SP019010;SIM;;;;;;;SIM;;;;;;;;;Artigo 2ß do Anexo XXI do RICMS;Isencao - Produto de artesanato;
SP059010;SIM;;;;;;;;;;SIM;;;;;;Artigo 3ß do Anexo XXI do RICMS;Diferimento - Produto de artesanato;
